video_id,planned_class_id,planned_class,planned_niche,final_class_id,final_class,final_niche,conf,tier,views,source,tiktok_url
7642660735121739029,51,Listing bất động sản,real_estate,3,Review mỹ phẩm,beauty,0.85,low_conf,39410,gemini_two_axis,https://www.tiktok.com/video/7642660735121739029
7643777631078370578,69,Pet cute / funny,,20,POV tình yêu / quan hệ,lifestyle,0.85,low_conf,31394,gemini_two_axis,https://www.tiktok.com/video/7643777631078370578
7643810642561862932,9,Lookbook montage,fashion,23,Lifestyle aesthetic,lifestyle,0.85,low_conf,21495,gemini_two_axis,https://www.tiktok.com/video/7643810642561862932
7643707630610828564,73,Decor / nội thất,lifestyle,51,Listing bất động sản,real_estate,0.85,low_conf,15863,gemini_two_axis,https://www.tiktok.com/video/7643707630610828564
7644108122935708948,33,Mẹo nuôi dạy,family,23,Lifestyle aesthetic,lifestyle,0.85,low_conf,12023,gemini_two_axis,https://www.tiktok.com/video/7644108122935708948
7643067608354295061,41,Hướng dẫn phần mềm,tech_gaming,35,Giải thích học thuật,education,0.85,low_conf,11680,gemini_two_axis,https://www.tiktok.com/video/7643067608354295061
7643710554384682261,73,Decor / nội thất,lifestyle,51,Listing bất động sản,real_estate,0.85,low_conf,9334,gemini_two_axis,https://www.tiktok.com/video/7643710554384682261
7643982250861759764,64,Highlight thể thao,travel,23,Lifestyle aesthetic,lifestyle,0.85,low_conf,9077,gemini_two_axis,https://www.tiktok.com/video/7643982250861759764
7644027072418974994,51,Listing bất động sản,real_estate,47,Kinh doanh storytelling,business,0.85,low_conf,6789,gemini_two_axis,https://www.tiktok.com/video/7644027072418974994
7643779664535653652,19,Self-improvement,lifestyle,24,Hài skit kịch bản,comedy,,,751863,hashtag,https://www.tiktok.com/video/7643779664535653652
7643785224077298952,19,Self-improvement,lifestyle,24,Hài skit kịch bản,comedy,,,436504,hashtag,https://www.tiktok.com/video/7643785224077298952
7643826828498537744,73,Decor / nội thất,lifestyle,49,Review Shopee / gia dụng,business,,,177574,hashtag,https://www.tiktok.com/video/7643826828498537744
7644053137707355413,7,Haul thời trang,fashion,8,Phụ kiện review,,,,48482,hashtag,https://www.tiktok.com/video/7644053137707355413
7643408341405895954,73,Decor / nội thất,lifestyle,51,Listing bất động sản,real_estate,,,5759,hashtag,https://www.tiktok.com/video/7643408341405895954
